Date,Price,Open,High,Low,Volume,Close
08/27/2020,11327.40,11462.30,11580.30,11135.30,15867308108.00,11357.80
08/26/2020,11462.30,11324.90,11533.60,11254.60,17048033399.00,11394.10
08/25/2020,11324.80,11752.90,11766.90,11131.00,15330283408.00,11448.95
08/24/2020,11753.50,11641.60,11824.60,11587.10,16812108040.00,11705.85
08/23/2020,11641.60,11661.10,11705.40,11520.80,13111274675.00,11613.10
08/22/2020,11661.30,11529.20,11677.00,11382.10,12819992056.00,11529.55
08/21/2020,11529.20,11856.90,11877.40,11495.60,13735490672.00,11686.50
08/20/2020,11856.90,11751.00,11881.00,11672.70,13878964574.00,11776.85
08/19/2020,11750.20,11944.40,12013.20,11602.60,13679528236.00,11807.90
08/18/2020,11947.60,12283.00,12381.40,11842.00,14644460907.00,12111.70
08/17/2020,12282.60,11898.80,12444.10,11764.00,18720780006.00,12104.05
08/16/2020,11899.00,11845.50,11922.50,11688.90,17567780766.00,11805.70
08/15/2020,11845.30,11751.10,11964.00,11711.50,14808830723.00,11837.75
08/14/2020,11750.80,11771.10,11835.50,11651.50,15737171804.00,11743.50
08/13/2020,11770.90,11557.20,11772.90,11298.40,18026409033.00,11535.65
08-12-2020,11557.20,11390.40,11605.40,11190.60,15320605300.00,11398.00
08-11-2020,11390.40,11889.20,11931.80,11146.70,16784645411.00,11539.25
08-10-2020,11889.20,11681.10,12041.10,11546.90,19419875368.00,11794.00
08-09-2020,11681.20,11764.40,11792.80,11527.50,28867562329.00,11660.15
08-08-2020,11764.30,11591.60,11805.50,11533.50,27773333680.00,11669.50
08-07-2020,11592.00,11757.10,11901.80,11352.40,28677672181.00,11627.10
08-06-2020,11757.10,11735.00,11898.40,11563.00,32031452227.00,11730.70
08-05-2020,11735.10,11184.80,11771.50,11114.50,28344112920.00,11443.00
08-04-2020,11184.70,11223.80,11407.80,11043.00,33167197581.00,11225.40
08-03-2020,11224.40,11066.90,11461.10,10981.60,30066644905.00,11221.35
08-02-2020,11066.80,11802.60,12061.10,10730.70,21354286562.00,11395.90
08-01-2020,11803.10,11333.20,11847.70,11226.10,25902422040.00,11536.90
07/31/2020,11333.40,11096.50,11434.80,10964.60,23843404340.00,11199.70
07/30/2020,11096.20,11105.80,11164.40,10861.60,25127245056.00,11013.00
07/29/2020,11105.90,10908.40,11336.50,10771.80,24719473175.00,11054.15
07/28/2020,10908.50,10961.10,11046.10,10873.60,24457107820.00,10959.85
07/27/2020,11022.80,9932.70,11367.00,9894.60,25919126991.00,10630.80
07/26/2020,9932.50,9690.00,10086.60,9645.90,22256813107.00,9866.25
07/25/2020,9704.10,9546.70,9729.30,9536.20,26677970091.00,9632.75
07/24/2020,9546.40,9599.20,9626.20,9480.50,27949839564.00,9553.35
07/23/2020,9599.60,9513.60,9646.50,9451.10,24226919267.00,9548.80
07/22/2020,9513.70,9387.40,9523.10,9296.00,23473479966.00,9409.55
07/21/2020,9387.30,9162.30,9426.90,9155.10,29246528551.00,9291.00
07/20/2020,9162.40,9208.10,9218.40,9139.90,25365190957.00,9179.15
07/19/2020,9208.00,9170.10,9224.80,9106.40,22488303544.00,9165.60
